phase,status,reason,disabled_count,loaded_mods,block_atlas,emi_reload_ms,rss_mib,anonymous_mib,hist_total_mib,heap_total_mib,heap_used_mib,metaspace_used_mib,byte_arrays_mib,int_arrays_mib,baked_quads_mib,emi_item_stacks_mib,item_stacks_mib,max_client_mib,joined_at_sec,run_dir
baseline,PASS,client_joined_server,0,,16384x16384x4,10819,14507.5,14361.7,4546.8,8192.0,6448.0,,776.9,473.5,203.9,194.6,105.0,11697.3,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/01_baseline/client_join_probe/20260506-074945
baseline_repeat_2,PASS,client_joined_server,0,,16384x16384x4,10812,14051.3,13905.5,4568.3,8192.0,7021.0,,777.6,488.8,203.9,194.6,105.1,10523.7,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/02_baseline_repeat_2/client_join_probe/20260506-075235
no_chipped,PASS,client_joined_server,2,,16384x16384x4,9512,13238.8,13097.0,4163.1,7288.0,4999.9,,745.4,462.9,196.0,104.3,69.8,10519.8,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/03_no_chipped/client_join_probe/20260506-075524
no_ticex,PASS,client_joined_server,2,,16384x16384x4,11951,12465.9,12323.9,3961.3,7368.0,6473.8,,757.5,486.1,204.8,194.4,101.9,9839.0,53,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/04_no_ticex/client_join_probe/20260506-075814
no_chipped_no_ticex,FAIL,server_crash_report_created,4,,16384x16384x4,,,,,,,,,,,,,8805.1,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/05_no_chipped_no_ticex/client_join_probe/20260506-080107
no_emi_jei_recipe_index,FAIL,server_fail,14,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/06_no_emi_jei_recipe_index
no_distant_horizons,PASS,client_joined_server,2,,16384x16384x4,10510,12837.7,12693.5,4505.9,6784.0,5991.4,,774.7,444.2,203.9,194.6,105.1,9903.2,58,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/07_no_distant_horizons/client_join_probe/20260506-080413
no_steam_rails,PASS,client_joined_server,2,,16384x16384x4,10606,12807.2,12661.5,4351.9,6640.0,5512.1,,744.1,452.2,186.7,188.5,99.4,9801.5,53,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/08_no_steam_rails/client_join_probe/20260506-080713
no_tcon_addon_layer,FAIL,server_fail,8,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/09_no_tcon_addon_layer
no_ae2_addons,PASS,client_joined_server,18,,16384x16384x4,12102,14214.5,14072.7,4461.7,8192.0,5393.1,,772.2,440.5,202.2,194.3,104.7,10980.8,53,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/10_no_ae2_addons/client_join_probe/20260506-081014
no_create_addons,FAIL,server_fail,40,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/11_no_create_addons
no_biome_worldgen_dims,FAIL,server_fail,44,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/12_no_biome_worldgen_dims
no_food_farming,FAIL,server_fail,34,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/13_no_food_farming
no_magic_adventure_mobs,FAIL,server_fail,38,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/14_no_magic_adventure_mobs
no_custom_mods,PASS,client_joined_server,36,,16384x16384x4,11031,12998.8,12857.0,3962.1,7212.0,5874.1,,759.3,483.4,202.9,192.6,100.0,10559.7,53,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-074908/15_no_custom_mods/client_join_probe/20260506-081334
