cycle,start_ts,end_ts,status,done_seconds,server_port,java_pid,log_file
1,2026-05-03T23:11:29Z,2026-05-03T23:14:08Z,OK,61.107,25566,691114,harness-logs/cycle-001.log
2,2026-05-03T23:14:08Z,2026-05-03T23:16:48Z,OK,60.807,25567,691971,harness-logs/cycle-002.log
3,2026-05-03T23:16:48Z,2026-05-03T23:19:37Z,OK,72.088,25568,692776,harness-logs/cycle-003.log
4,2026-05-03T23:19:37Z,2026-05-03T23:22:09Z,OK,53.581,25569,693623,harness-logs/cycle-004.log
5,2026-05-03T23:22:09Z,2026-05-03T23:24:24Z,OK,36.649,25570,694420,harness-logs/cycle-005.log
6,2026-05-03T23:24:24Z,2026-05-03T23:26:45Z,OK,43.206,25571,695133,harness-logs/cycle-006.log
7,2026-05-03T23:26:45Z,2026-05-03T23:29:11Z,OK,46.875,25572,696519,harness-logs/cycle-007.log
8,2026-05-03T23:29:11Z,2026-05-03T23:31:42Z,OK,52.780,25573,697458,harness-logs/cycle-008.log
9,2026-05-03T23:31:42Z,2026-05-03T23:34:10Z,OK,47.817,25574,698246,harness-logs/cycle-009.log
10,2026-05-03T23:34:10Z,2026-05-03T23:36:35Z,OK,47.634,25575,699022,harness-logs/cycle-010.log
11,2026-05-03T23:36:35Z,2026-05-03T23:39:20Z,OK,65.232,25576,699773,harness-logs/cycle-011.log
12,2026-05-03T23:39:20Z,2026-05-03T23:41:50Z,OK,52.367,25577,700581,harness-logs/cycle-012.log
13,2026-05-03T23:41:50Z,2026-05-03T23:44:16Z,OK,46.039,25578,701436,harness-logs/cycle-013.log
14,2026-05-03T23:44:16Z,2026-05-03T23:46:57Z,OK,62.190,25579,702189,harness-logs/cycle-014.log
15,2026-05-03T23:46:57Z,2026-05-03T23:49:55Z,OK,77.989,25580,702984,harness-logs/cycle-015.log
16,2026-05-03T23:49:55Z,2026-05-03T23:52:29Z,OK,55.519,25581,703816,harness-logs/cycle-016.log
17,2026-05-03T23:52:29Z,2026-05-03T23:55:00Z,OK,50.825,25582,704593,harness-logs/cycle-017.log
18,2026-05-03T23:55:00Z,2026-05-03T23:57:22Z,OK,43.520,25583,705342,harness-logs/cycle-018.log
19,2026-05-03T23:57:22Z,2026-05-03T23:59:47Z,OK,46.525,25584,706709,harness-logs/cycle-019.log
20,2026-05-03T23:59:47Z,2026-05-04T00:02:51Z,OK,83.620,25585,707698,harness-logs/cycle-020.log
21,2026-05-04T00:02:51Z,2026-05-04T00:05:37Z,OK,66.303,25586,708613,harness-logs/cycle-021.log
22,2026-05-04T00:05:37Z,2026-05-04T00:08:08Z,OK,53.232,25587,709442,harness-logs/cycle-022.log
23,2026-05-04T00:08:08Z,2026-05-04T00:11:02Z,OK,74.517,25588,710212,harness-logs/cycle-023.log
24,2026-05-04T00:11:02Z,2026-05-04T00:13:48Z,OK,66.467,25589,711040,harness-logs/cycle-024.log
25,2026-05-04T00:13:48Z,2026-05-04T00:16:36Z,OK,68.834,25590,711838,harness-logs/cycle-025.log
26,2026-05-04T00:16:36Z,2026-05-04T00:19:03Z,OK,49.200,25591,712718,harness-logs/cycle-026.log
27,2026-05-04T00:19:03Z,2026-05-04T00:21:56Z,OK,73.094,25592,713565,harness-logs/cycle-027.log
28,2026-05-04T00:21:56Z,2026-05-04T00:24:34Z,OK,58.007,25593,714821,harness-logs/cycle-028.log
29,2026-05-04T00:24:34Z,2026-05-04T00:27:06Z,OK,50.105,25594,716009,harness-logs/cycle-029.log
